category,department,verdict,n_pairs,net_effect_usd,t_stat,net_effect_pct,qty_lift_pct,disc_rate_treated_pct,elasticity,post56_effect_usd,t_cannibalization,significant_bh,panel_product_lift_pct,sku_mix_shift_pct,halo_effect_usd,t_halo,basket_total_usd,t_basket
REFRGRATD JUICES/DRNKS,GROCERY,축소,738,-0.1,-2.56,-3.5,23.7,33.2,1.07,-0.219,-1.9653617610048373,True,103.7,-2.0,2.028,1.76,1.928,1.67
FRUIT - SHELF STABLE,GROCERY,불확실,149,0.229,1.42,6.9,20.9,27.3,1.57,-0.455,-0.7640357387374817,False,,0.9,-2.177,-0.7,-1.948,-0.62
VEGETABLES - ALL OTHERS,PRODUCE,축소,282,-0.215,-3.72,-11.5,13.3,31.2,0.44,-0.075,-0.8746429291893141,True,49.4,25.0,0.495,0.29,0.28,0.16
MARGARINES,GROCERY,불확실,105,-0.077,-0.98,-4.2,21.8,34.8,0.84,0.1,-0.9211020291976,False,,5.8,-1.173,-0.34,-1.249,-0.37
MEAT - MISC,MEAT-PCKGD,확대,151,0.821,3.13,10.6,20.5,30.4,1.33,-0.743,-1.1131098015688283,True,92.1,7.5,-1.046,-0.31,-0.225,-0.07
CHICKEN,MEAT,불확실,701,-0.155,-1.49,-2.5,25.8,46.0,0.84,-0.356,-2.4547764728921746,False,214.7,10.2,0.189,0.14,0.034,0.03
HOT DOGS,MEAT-PCKGD,불확실,260,-0.038,-0.3,-1.2,19.5,41.0,0.88,-0.182,-1.0415606809111913,False,214.9,3.6,-0.103,-0.04,-0.141,-0.05
PEPPERS-ALL,PRODUCE,불확실,123,-0.106,-1.48,-5.6,29.5,18.9,1.62,-0.362,-0.9066016227408076,False,11.0,-15.7,3.582,1.05,3.476,1.01
SOUP,GROCERY,확대,181,0.909,5.08,25.1,54.4,29.2,2.43,-0.438,-1.1012440172987077,True,79.7,11.0,1.169,0.49,2.079,0.86
CANDY - PACKAGED,DRUG GM,확대,318,1.236,5.05,35.1,38.7,23.1,2.85,-0.413,-0.8597733927559659,True,,5.1,2.964,1.69,4.2,2.35
VEGETABLES - SHELF STABLE,GROCERY,확대,279,0.377,3.98,15.7,37.9,35.5,1.67,-0.208,-0.9993128017381622,True,,2.5,9.717,4.39,10.094,4.49
BEEF,MEAT,확대,1323,1.668,14.93,22.3,30.2,25.7,1.53,-0.384,-2.051701677949392,True,273.7,15.5,5.178,6.99,6.846,8.81
FROZEN MEAT,MEAT-PCKGD,확대,154,0.63,2.68,9.6,21.7,28.1,1.4,-0.112,-0.5536562635958063,True,40.4,11.4,2.753,0.93,3.383,1.14
