weight_method,value_tier,churn_risk,cat_behavior,households,deep_events,full_events,visit_diff,visit_se,spend_diff,spend_se,visit_ci_low,visit_ci_high,spend_ci_low,spend_ci_high,performance_quadrant
Visit weighted,V2 Growth potential,false,C2 New trial,822,2670,9647,-0.029040071537087181,0.0537102290916929,-1.6066078241104405,2.5104472258963821,-0.13431212055680525,0.0762319774826309,-6.5270843868673492,3.3138687386464678,Q4 Relationship weakened
Visit weighted,V2 Growth potential,false,C3 Regular-price repeat,595,1615,15137,-0.13387656093675265,0.072015030893385984,-6.9459696750768369,3.1843823300022,-0.27502602148778921,0.0072728996142838731,-13.187359041881148,-0.70458030827252482,Q4 Relationship weakened
Visit weighted,V2 Growth potential,false,C4 Promotion responsive,298,586,865,-0.26207448405434969,0.12217745295476436,-7.6660591975604575,5.4936846252948586,-0.50154229184568777,-0.022606676263011549,-18.43368106313838,3.1015626680174648,Q4 Relationship weakened
Visit weighted,V2 Growth potential,false,C5 Low-frequency/irregular,1056,8696,32044,-0.11752271607456494,0.038304948622615929,-6.1591588202663017,1.2410074719305135,-0.19260041537489214,-0.042445016774237718,-8.5915334652501087,-3.7267841752824951,Q4 Relationship weakened
Visit weighted,V2 Growth potential,true,C1 Stock-up risk,237,449,740,-0.20518930202474531,0.15927713261731308,-2.3998321726913425,7.1678365071408772,-0.51737248195467889,0.1069938779051883,-16.44879172668746,11.649127381304776,Q4 Relationship weakened
Visit weighted,V2 Growth potential,true,C2 New trial,539,1337,4663,-0.088672129660704008,0.073563798937757871,-6.6169436831408142,3.4743807486566372,-0.23285717557870944,0.055512916257301426,-13.426729950507823,0.19284258422619427,Q4 Relationship weakened
Visit weighted,V2 Growth potential,true,C3 Regular-price repeat,476,1315,11506,-0.20435457752321429,0.076256157031586141,-4.561337096364718,3.3570613935687486,-0.35381664530512313,-0.05489250974130544,-11.141177427759466,2.0185032350300292,Q4 Relationship weakened
Visit weighted,V2 Growth potential,true,C4 Promotion responsive,242,488,683,-0.19714664353094108,0.14827554369352886,-18.423919446829576,7.554642999119551,-0.48776670917025761,0.093473422108375448,-33.231019725103891,-3.6168191685552564,Q4 Relationship weakened
Visit weighted,V2 Growth potential,true,C5 Low-frequency/irregular,771,5464,20102,-0.030262556698447348,0.03835155317131058,-5.0777234643290745,1.8543321134412758,-0.10543160091421609,0.044906487517321389,-8.7122144066739757,-1.4432325219841742,Q4 Relationship weakened
Visit weighted,V3 Maintain,false,C1 Stock-up risk,158,255,398,-0.13894646141481579,0.18171870503474036,-3.0751622617888486,10.60528483971019,-0.49511512328290685,0.21722220045327531,-23.86152054762082,17.711196024043126,Q4 Relationship weakened
Visit weighted,V3 Maintain,false,C2 New trial,1106,3306,10463,0.016890241677880551,0.037657536019215919,-3.0343252758215407,1.6796104811168073,-0.056918528919782656,0.09069901227554375,-6.3263618188104829,0.25771126716740156,Q2 More low-value visits
Visit weighted,V3 Maintain,false,C3 Regular-price repeat,473,867,5971,-0.082289356919018064,0.0730019943111955,-1.4197701771385396,3.1145709915997535,-0.22537326576896125,0.060794551930925117,-7.524329320674056,4.6847889663969777,Q4 Relationship weakened
Visit weighted,V3 Maintain,false,C4 Promotion responsive,185,322,410,-0.054487149487149389,0.13954109647256666,-3.2051159685659734,6.7407911672520289,-0.32798769857338,0.21901339959908123,-16.417066656379951,10.006834719248003,Q4 Relationship weakened
Visit weighted,V3 Maintain,false,C5 Low-frequency/irregular,1285,7506,25124,-0.082761040793208243,0.0278685331482445,-4.5624505467069163,1.1093906177800219,-0.13738336576376747,-0.02813871582264902,-6.7368561575557591,-2.3880449358580735,Q4 Relationship weakened
Visit weighted,V3 Maintain,true,C1 Stock-up risk,182,294,407,-0.048312401883830472,0.15238382484135379,-0.90668308477237258,7.9294882803624125,-0.34698469857288389,0.25035989480522297,-16.4484801142827,14.635113944737954,Q4 Relationship weakened
