category,n_pairs,qty_pct,net_now,t_net,net_pct,d_disc,elasticity,net_later,t_cann,p,significant_bh,net_total,verdict
MELONS,143,12.86088123546362,-0.7144172024654093,-7.13602730180044,-22.68267199086022,23.43053362748242,0.5488940815406219,-0.3749115235622054,-1.64207455665524,9.606693717768286e-13,True,-0.7144172024654093,축소
CANNED JUICES,241,16.155665205106946,0.29741209859082707,2.5854745571583537,7.899573781239414,12.619473931708331,1.2802170116230758,-0.8240973957867432,-2.4925711889676485,0.009724504963362036,True,-0.5266852971959162,축소
SALAD MIX,639,14.402496552390318,-0.3117664754462931,-8.715701953686466,-10.587301444970642,23.025596853404878,0.6254993798460676,0.10319455314287579,0.8094856193695011,2.889625987597692e-18,True,-0.3117664754462931,축소
REFRGRATD JUICES/DRNKS,738,23.706151044943745,-0.09982025374331085,-2.558000278773729,-3.530980782358667,19.067463122826624,1.2432776658455373,-0.21887117540973966,-1.84964137883301,0.010527600786570905,True,-0.09982025374331085,축소
SEAFOOD - FROZEN,174,23.696148724307207,1.0463044525499214,2.9258596974237703,14.260004289909183,16.259535765378992,1.457369328758008,-0.06923056982924855,-0.13330548033939185,0.0034350581679429013,True,1.0463044525499214,확대
REFRGRATD DOUGH PRODUCTS,437,25.241106921805418,0.17435211065290904,2.6871839679017535,5.701577888371549,18.051283205016492,1.3982998679446155,-0.41434676366316536,-3.255448222694771,0.007205725385048127,True,-0.23999465301025633,축소
CHEESES,244,11.161034731176128,0.081406378392076,0.707415298878623,2.012489996245906,9.056987656552655,1.232312017462143,0.28341206245967104,1.054463513745088,0.4793084323283143,False,0.081406378392076,불확실
MEAT - SHELF STABLE,161,28.50147551975174,0.5532821410552219,2.5032416151473833,13.889846151454929,4.555368103607627,6.256678905307339,-0.16049004323080454,-0.3459111892655013,0.012306150070683924,True,0.5532821410552219,확대
APPLES,432,2.5623381109154155,-0.3098839167109344,-6.445898853380854,-10.379852866842066,24.596917334083713,0.10417313991476518,0.47047724344037783,2.9079965927500915,1.1491728563637279e-10,True,-0.3098839167109344,축소
COOKIES,115,8.921327114825631,-0.3912873339263749,-2.1888720939507835,-9.059798995116621,17.259684537568933,0.5168881908245017,0.7931374507787313,1.8629307968935782,0.028606137877410304,True,-0.3912873339263749,축소
CARROTS,136,11.61643342738985,-0.37853444499783323,-7.882582595751955,-18.450141638421353,23.79419291217017,0.48820455773678784,0.15763252649242876,1.0319690439731863,3.2068290028442185e-15,True,-0.37853444499783323,축소
ICE CREAM/MILK/SHERBTS,672,17.075167883235462,-0.3020570120866085,-5.282688801818174,-7.412891862541331,22.106798013994414,0.772394440498631,0.0662011907183986,0.4689919720406293,1.2730153154422606e-07,True,-0.3020570120866085,축소
FROZEN MEAT,154,21.662808861075614,0.6297334356310114,2.6837366257802238,9.590475893857166,13.185681267576479,1.6429040275942624,-0.11188377096512381,-0.22045694263109883,0.007280443460278509,True,0.6297334356310114,확대
TOMATOES,429,7.010054519860611,-0.6981909996280472,-15.547143705282645,-24.748034766353634,29.14558288401603,0.24051859068171366,-0.1595422220969775,-1.126144550054146,1.6636148417909988e-54,True,-0.6981909996280472,축소
GRAPES,502,4.335157218869192,-1.0660764007307804,-19.89532085845411,-29.778336159732916,28.41823193908986,0.15254844946585486,-0.043025009359596786,-0.3244988424056528,4.4673956646395085e-88,True,-1.0660764007307804,축소
