category,n_pairs,visit28_diff,t_visit,spend28_diff,t_spend,quadrant,visit28_ci_low,visit28_ci_high,spend28_ci_low,spend28_ci_high
LAUNDRY DETERGENTS,133,0.3542423861907563,1.4491215901743282,2.7967427076035927,0.2102347155946571,Q1 강화,-0.12488585373171757,0.8333706261132302,-23.2770467300641,28.870532145271284
BUTTER,196,-0.0383339846502789,-0.2783585692689029,4.159899597350685,0.531458325971054,Q3 방문감소·지출증가,-0.3082542177937547,0.23158624849319695,-11.181666829160466,19.501466023861838
CHICKEN/POULTRY,53,-0.2735580617848717,-0.7823457869966087,3.520310441563225,0.2734586282099858,Q3 방문감소·지출증가,-0.9588992625813844,0.41178313901164093,-21.71132518328031,28.75194606640676
OLIVES,67,0.0342650922874803,0.1462853431902507,-4.511787539574852,-0.3190792644651253,Q2 방문증가·지출감소,-0.4248347697958818,0.49336495437084243,-32.22622894143299,23.202653862283285
FROZEN BREAD/DOUGH,49,0.4031914893617021,0.997813653566936,17.559758865248234,0.8304460016296522,Q1 강화,-0.3887953874704294,1.1951783661938338,-23.884389590337072,59.00390732083354
CHIPS&SNACKS,22,-0.6925947789584154,-1.4280864884401954,-9.654594680571968,-0.3864341766521282,Q4 약화,-1.6431574918940908,0.25796793397726003,-58.62284520608315,39.31365584493921
COCOA MIXES,47,0.5330227743271222,1.8627214375477588,11.834764665286404,1.0230443298885732,Q1 강화,-0.027836523591584172,1.0938820722458287,-10.838875240902023,34.50840457147483
MOLASSES/SYRUP/PANCAKE MIXS,50,-0.1709301469505551,-0.4803393343675793,17.45241858085227,1.0977869964882352,Q3 방문감소·지출증가,-0.8684018384250489,0.5265415445239388,-13.707305963067519,48.61214312477206
LAUNDRY ADDITIVES,45,0.626984126984127,1.6655244698477225,7.476004056437389,0.3588662761922838,Q1 강화,-0.11085486075602025,1.3648231147242742,-33.355271888717425,48.307280001592204
FROZEN PIE/DESSERTS,127,0.3299646833610418,1.447691210814046,15.653734225359404,1.690183617702314,Q1 강화,-0.11676786191978578,0.7766972286418694,-2.498920172873099,33.80638862359191
CITRUS,100,0.0845559571269205,0.3825161190598185,9.171161437920231,0.8449683556579608,Q1 강화,-0.34870598324858326,0.5178178975024242,-12.102388391441712,30.444711267282173
CANNED JUICES,502,0.056379568392724,0.5563922644081128,-8.142075018516085,-1.8877903265670244,Q2 방문증가·지출감소,-0.14222843016975162,0.25498756695519964,-16.59559171033654,0.311441673304369
CONVENIENT BRKFST/WHLSM SNACKS,407,-0.0064324176332449,-0.0626988377171389,-6.269488249836026,-1.268104430001887,Q4 약화,-0.20751331514585858,0.19464847987936879,-15.95969725703926,3.420720757367209
DRY NOODLES/PASTA,334,-0.1361324853394339,-1.065622700535941,-9.358029506453596,-1.4988518966237725,Q4 약화,-0.3865209869461442,0.11425601626727638,-21.595221102210715,2.8791620893035237
MELONS,155,-0.1569019106720952,-1.0345433078790842,-5.53813804730609,-0.6701618659888998,Q4 약화,-0.45416133188256996,0.14035751053837958,-21.735345205165665,10.659069110553483
MUSHROOMS,21,0.452256476857141,0.6974113204282921,38.870356115125375,1.173499637884364,Q1 강화,-0.8187620292600656,1.7232749829743477,-26.05160510762964,103.79231733788039
CORN,75,0.0898745727956254,0.4190887341518515,4.9003584095339345,0.3616111893773303,Q1 강화,-0.33045207481976613,0.5102012204110169,-21.660496909199843,31.461213728267715
CAT FOOD,75,0.0095712648681821,0.0339264849398223,-2.162697449945054,-0.1737932442710773,Q2 방문증가·지출감소,-0.5433795985918028,0.562522128328167,-26.553098927695373,22.227704027805267
ROLLS,48,0.2110499170858164,0.6758501209812281,-4.532625310662423,-0.3984874404145723,Q2 방문증가·지출감소,-0.4010056624672863,0.8231054966389192,-26.82679247351153,17.76154185218669
PIES,31,0.6049027137736815,1.267293968687352,34.734157706093185,2.209381194696735,Q1 강화,-0.33064132596041107,1.5404467535077742,3.9205754834530957,65.54773992873328
AIR CARE,33,-0.5132623268986904,-1.0020290831508702,-41.585928885928894,-1.3698400864300733,Q4 약화,-1.5172193752890373,0.4906947214916564,-101.08807181769177,17.916214045833982
PEPPERS-ALL,29,-0.3849100698948483,-0.6179173377017972,17.37825336785763,0.6379310791276372,Q3 방문감소·지출증가,-1.605823760065462,0.8360036202757655,-36.015252161892484,70.77175889760775
BAG SNACKS,861,-0.0569714132817602,-0.7786374490463431,-4.254091338682968,-1.369537448684368,Q4 약화,-0.20038086548446815,0.08643803892094776,-10.342292162857909,1.8341094854919744
FRZN MEAT/MEAT DINNERS,543,0.0063058234757261,0.0656993784000861,0.8494034485001464,0.2055890938961641,Q1 강화,-0.18181489110940546,0.1944265380608577,-7.248451975198229,8.947258872198521
BAKED BREAD/BUNS/ROLLS,1386,0.0418177838082427,0.8400402706238954,3.565188991416242,1.6672439949757336,Q1 강화,-0.055752367445675306,0.1393879350621607,-0.6260214398305295,7.756399422663014
MILK BY-PRODUCTS,415,0.091874551921077,0.862358501608563,-4.90134706399645,-0.9812731622921512,Q2 방문증가·지출감소,-0.11694129604634894,0.30069039988850293,-14.691322592312071,4.88862846431917
CONDIMENTS/SAUCES,586,0.0468949298175502,0.5218604934091162,2.9171275835286834,0.6581940175953801,Q1 강화,-0.12923272039402028,0.22302258002912068,-5.769627249954249,11.603882417011617
ORGANICS FRUIT & VEGETABLES,79,0.0762748877880425,0.2851055879387964,14.639001693842571,1.071405023508466,Q1 강화,-0.4480879671997601,0.600637742775845,-12.141200648287588,41.41920403597273
SUGARS/SWEETNERS,39,-0.6843208448471606,-1.959505403126424,-6.1214383363487395,-0.2809937312257674,Q4 약화,-1.3688144184603885,0.00017272876606733156,-48.81996789750679,36.577091224809315
BREAD,175,-0.0071231823846494,-0.0442082702449949,8.425385860280688,1.0158071385038168,Q3 방문감소·지출증가,-0.32293371730358766,0.3086873525342889,-7.83139720434049,24.682168924901866
BATH TISSUES,307,-0.1616216381895861,-1.0661974132944625,-9.49105480244278,-1.3962055677416718,Q4 약화,-0.4587321046957554,0.13548882831658324,-22.814642562429217,3.8325329575436555
REFRIGERATED,62,-0.0942047703837214,-0.2905634257481938,-0.0801057832464441,-0.0054293740227034,Q4 약화,-0.7296644793152461,0.5412549385478033,-28.9982341911422,28.83802262464931
